,AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,UTILITY_AVAIL,STREET,MZZONE,AGE,BUILD_YEAR,SALES_PRICE,BUILDTYPE_Commercial,BUILDTYPE_House,BUILDTYPE_Other
0,1,1004,1,1,3,3,1,4,2,1,44,1967,7600000,1,0,0
1,6,1986,2,1,5,3,0,4,3,4,11,1995,21717770,1,0,0
2,2,909,1,1,3,3,1,1,3,5,20,1992,13159200,1,0,0
3,4,1855,3,2,5,2,0,3,2,3,22,1988,9630290,0,0,1
4,1,1226,1,1,3,3,1,4,3,2,30,1979,7406250,0,0,1
5,3,1220,2,1,4,1,0,2,1,4,5,2009,12394750,1,0,0
6,3,1167,1,1,3,1,0,4,1,5,28,1979,8488790,0,0,1
7,4,1847,3,2,5,2,0,4,3,6,10,1996,16800250,1,0,0
8,3,771,1,1,2,5,0,3,2,6,34,1977,8308970,0,0,1
9,4,1635,2,1,4,3,0,1,1,3,15,1991,8083650,0,0,1
10,3,1203,2,1,4,5,1,4,1,6,28,1978,14938000,1,0,0
11,3,1054,1,1,3,1,0,3,3,6,37,1972,9449730,0,0,1
12,3,1196,1,1,3,2,0,3,1,5,19,1991,8774370,0,0,1
13,2,1056,1,1,3,1,1,3,2,4,26,1981,9386490,0,0,1
14,4,1865,3,2,5,2,0,3,2,6,54,1956,15499680,1,0,0
15,4,1868,3,2,5,2,0,3,3,4,9,2000,15714080,1,0,0
16,1,1639,2,2,4,4,1,1,3,3,18,1991,8656000,0,1,0
17,3,796,1,1,2,5,1,4,1,5,36,1975,10912550,1,0,0
18,2,1136,1,1,3,4,1,4,2,1,30,1978,8287550,0,0,1
19,6,1902,2,1,5,2,1,1,2,5,42,1970,21203240,1,0,0
20,3,1069,1,1,3,3,1,3,2,6,4,2009,10905530,0,0,1
21,3,931,1,1,3,3,1,1,2,5,22,1986,9185970,0,0,1
22,5,2010,3,2,5,1,0,3,3,4,10,1999,10925400,0,0,1
23,3,1074,1,1,3,3,0,3,3,5,16,1994,9627380,0,0,1
24,7,1972,2,1,5,5,0,3,1,4,5,2008,13922760,0,0,1
25,7,1685,1,1,4,2,0,3,3,6,34,1980,12601080,0,1,0
26,2,1130,1,1,3,2,1,1,2,4,30,1981,13383350,1,0,0
27,1,1301,1,1,3,4,1,3,3,2,7,2003,7939625,0,0,1
28,2,730,1,1,2,5,1,1,3,5,39,1972,8848285,0,1,0
29,7,1806,2,1,5,2,0,2,2,4,35,1978,11338200,0,1,0
30,6,1981,2,1,5,5,0,1,1,5,9,2000,12872430,0,1,0
31,2,868,1,1,3,4,0,2,3,5,10,2001,9042050,0,0,1
